"","lon","lat","date","bodytemp","shade","depth","activity","atmos_pressure","precip","cloud_cover","Tair_local"," Tair_1.2m","RH_local","RH_1.2m","wind_local","wind_1.2m","solar_angle","solar.Wm2","Tsky","DEW","FROST","Soil0cm","Soil2.5cm","Soil5cm","Soil10cm","Soil15cm","Soil20cm","Soil30cm","Soil50cm","Soil100cm","Soil200cm"
"23",136.81,-33.19,2014-12-11 02:30:00,14.7779321670532,70,0,0,101244.88,0,64.06,14.9155769348145,14.7600002288818,86.2999725341797,87.1699981689453,0.978644967079163,4.45833349227905,90,0,4.75042724609375,0,0,15.1911087036133,18.38671875,19.9629898071289,21.871789932251,22.4854526519775,22.317741394043,21.1832218170166,20.2585334777832,20.04150390625,20.0324993133545
"24",136.81,-33.19,2014-12-11 03:30:00,14.4576396942139,70,0,0,101275.88,0,75,14.5121574401855,14.6000003814697,87.424919128418,86.9300003051758,0.983522951602936,4.48055553436279,90,0,5.34393310546875,0,0,14.3562898635864,17.846981048584,19.29514503479,21.315731048584,22.1308841705322,22.1762294769287,21.2263355255127,20.2722225189209,20.0421581268311,20.0324993133545
"25",136.81,-33.19,2014-12-11 04:30:00,14.5801029205322,70,0,0,101328,0,90.62,14.6488580703735,14.6599998474121,87.5629730224609,87.5,0.987181484699249,4.49722242355347,90,0,6.52676391601562,0,0,14.6290597915649,17.312686920166,18.7654628753662,20.8086223602295,21.7846145629883,22.0117111206055,21.2544040679932,20.2861766815186,20.0428524017334,20.0324993133545
"26",136.81,-33.19,2014-12-11 05:30:00,17.0567531585693,0,-2.5,0,101405.62,0,92.19,15.0954875946045,15.039999961853,85.9823989868164,86.2900009155273,0.979864478111267,4.46388912200928,90,0.828167676925659,7.0126953125,0,0,15.1938047409058,17.0306205749512,18.3725528717041,20.36598777771,21.4528121948242,21.8323860168457,21.2677345275879,20.3001766204834,20.0435848236084,20.0324993133545
"27",136.81,-33.19,2014-12-11 06:30:00,16.9699420928955,0,-2.5,0,101480.62,0,76.56,15.7263927459717,15.6499996185303,81.0724716186523,81.4700012207031,0.967059731483459,4.40555572509766,88.7665939331055,23.0425243377686,6.47039794921875,0,0,15.8610820770264,16.9443054199219,18.1100521087646,19.99609375,21.1445808410645,21.6458225250244,21.2670669555664,20.3139667510986,20.0443572998047,20.0324993133545
"28",136.81,-33.19,2014-12-11 07:30:00,17.2964382171631,0,-2.5,0,101535.5,0,56.25,17.4463520050049,16.9099998474121,69.789436340332,72.1999969482422,0.934133410453796,4.25555562973022,77.660758972168,123.091201782227,6.0233154296875,0,0,18.3797035217285,17.2707805633545,18.0509357452393,19.7116355895996,20.8681392669678,21.4587783813477,21.2536125183105,20.3273410797119,20.045166015625,20.0324993133545
"29",136.81,-33.19,2014-12-11 08:30:00,18.7949542999268,0,-2.5,0,101545.5,0,14.06,21.3092803955078,18.8500003814697,52.3343315124512,60.939998626709,0.896329045295715,4.08333349227905,65.6000900268555,430.865295410156,4.06582641601562,0,0,25.5228042602539,18.7670230865479,18.5193881988525,19.5810699462891,20.6405048370361,21.2783470153809,21.2289295196533,20.3401165008545,20.0460090637207,20.0324993133545
"30",136.81,-33.19,2014-12-11 09:30:00,22.260570526123,0,-2.5,0,101542.5,0,0,26.1489391326904,20.7600002288818,36.680248260498,50.7700004577637,0.875597655773163,3.98888897895813,53.2075996398926,766.400146484375,3.93832397460938,0,0,35.3010444641113,22.2245178222656,20.0995445251465,19.7943172454834,20.5116996765137,21.116361618042,21.1950454711914,20.352144241333,20.0468883514404,20.0324993133545
"31",136.81,-33.19,2014-12-11 10:30:00,26.8835315704346,0,-2.5,0,101548.5,0,1.56,29.9183902740479,22.3799991607666,28.9371910095215,45.1800003051758,0.869500160217285,3.96111106872559,40.6696434020996,956.335632324219,5.39117431640625,0,0,42.6873931884766,26.8314743041992,22.8455142974854,20.5535087585449,20.5721797943115,20.9967803955078,21.1550121307373,20.3633155822754,20.0478000640869,20.0324993133545
"32",136.81,-33.19,2014-12-11 11:30:00,31.4571552276611,0,-2.5,0,101543.75,0,0,32.5345230102539,23.6000003814697,24.0013294219971,40.3899993896484,0.873768389225006,3.98055577278137,28.2469005584717,1086.52001953125,5.96231079101562,0,0,47.696231842041,31.3825702667236,26.1387176513672,21.848934173584,20.8948993682861,20.9546813964844,21.1137104034424,20.3735904693604,20.048734664917,20.0324993133545
"33",136.81,-33.19,2014-12-11 12:30:00,35.5171318054199,0,-2.5,0,101520.88,0,0,34.1116218566895,24.3700008392334,20.8877239227295,36.6599998474121,0.868890404701233,3.95833325386047,16.6879081726074,1137.64013671875,6.1549072265625,0,0,50.6082649230957,35.4071731567383,29.4473476409912,23.5062942504883,21.4841861724854,21.0220279693604,21.0779857635498,20.3830184936523,20.0496959686279,20.0324993133545
"34",136.81,-33.19,2014-12-11 13:30:00,38.719554901123,0,-2.5,0,101480.62,0,0,34.8483390808105,24.7099990844727,19.296070098877,34.5699996948242,0.846329748630524,3.85555577278137,10.2195615768433,1123.77990722656,6.07986450195312,0,0,51.8482894897461,38.6231117248535,32.4339179992676,25.3251724243164,22.2901134490967,21.2151107788086,21.0557136535645,20.3917694091797,20.0506801605225,20.0324993133545
"35",136.81,-33.19,2014-12-11 14:30:00,35.0088996887207,0,-5,0,101466,0,0,34.6380195617676,24.4300003051758,19.7478466033936,35.560001373291,0.806696057319641,3.67499995231628,16.6879081726074,1044.03002929688,5.94134521484375,0,0,51.450626373291,40.9137878417969,34.8992614746094,27.1292304992676,23.2378978729248,21.5317058563232,21.0544109344482,20.4001350402832,20.0516872406006,20.0324993133545
